taxon_id	Domain	Status	Study	Genome_Name	Sequencing_Center	IMG_ID	Phylum	Class	Order	Family	Genus	Species	taxid	Strain	Genome_Size	Gene_Count	score2
t2511231131	Bacteria	Finished	Escherichia coli O55:H7 RM12579	Escherichia coli O55:H7 RM12579	U.S. Department of Agriculture	2511231131	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	1048689	RM12579	5448306	5255	NA
t646564540	Bacteria	Finished	Lactobacillus johnsonii FI9785	Lactobacillus johnsonii FI9785	Institute of Food Research	646564540	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus johnsonii	633699	FI9785	1785116	1804	NA
t639279309	Bacteria	Finished	Ehrlichia ruminantium Welgevonden, CIRAD	Ehrlichia ruminantium Welgevonden, CIRAD	French Agricultural Research Centre for International Development (CIRAD)	639279309	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Ehrlichia	Ehrlichia ruminantium	254945	Welgevonden, CIRAD	1512977	976	NA
t649633026	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Calditerrivibrio nitroreducens Yu37-1, DSM 19672	DOE Joint Genome Institute (JGI)	649633026	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Calditerrivibrio	Calditerrivibrio nitroreducens	768670	Yu37-1, DSM 19672	2216552	2177	NA
t642979302	Bacteria	Permanent Draft	Nitrogen-fixing symbiotic bacteria	Rhizobium etli GR56	National Autonomous University of Mexico	642979302	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium etli	526947	GR56	4164184	5440	NA
t637000312	Bacteria	Finished	Hot spring microbial mat cyanobacterial strain	Synechococcus sp. JA-2-3B'a(2-13)	J. Craig Venter Institute (JCVI)	637000312	Cyanobacteria	unclassified	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. JA-2-3B'a(2-13)	321332	JA-2-3Ba(2-13)	3046682	2947	NA
t2512564047	Bacteria	Finished	Complete genome sequence of 23 Rickettsia strains	Rickettsia rickettsii Hlp#2	Los Alamos National Laboratory	2512564047	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia rickettsii	1105101	Hlp#2	1270751	1345	NA
t637000304	Bacteria	Finished	Streptomyces avermitilis MA-4680	Streptomyces avermitilis MA-4680	National Institute of Technology and Evaluation	637000304	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces avermitilis	227882	MA-4680	9119895	7792	NA
t647000300	Bacteria	Permanent Draft	Pseudomonas syringae pv aesculi 2250	Pseudomonas syringae pv. aesculi 2250	The Sainsbury Laboratory	647000300	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas amygdali	666475	2250	5926327	5666	NA
t645058721	Bacteria	Permanent Draft	Mycobacterium tuberculosis sequencing- Broad Institute	Mycobacterium tuberculosis 98-R604 INH-RIF-EM	Broad Institute	645058721	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis	555461	98-R604 INH-RIF-EM	4286999	4159	NA
t637000212	Bacteria	Finished	Prochlorococcus sp. NATL2A	Prochlorococcus marinus NATL2A	DOE Joint Genome Institute (JGI)	637000212	Cyanobacteria	unclassified	Synechococcales	Prochloraceae	Prochlorococcus	Prochlorococcus marinus	59920	NATL2A	1842899	1985	NA
t644736366	Bacteria	Finished	Eubacterium eligens ATCC 27750	Eubacterium eligens ATCC 27750	Washington University in St. Louis	644736366	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	[Eubacterium] eligens	515620	ATCC 27750	2831389	2827	NA
t637000186	Bacteria	Finished	Myxococcus xanthus DK 1622	Myxococcus xanthus DK 1622	J. Craig Venter Institute (JCVI)	637000186	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	Myxococcus xanthus	246197	DK 1622	9139763	7454	NA
t647533165	Bacteria	Permanent Draft	Francisella sequencing project - Broad Institute	Francisella tularensis holarctica 257	Broad Institute	647533165	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella tularensis	412422	257	1887952	1534	NA
t637000024	Bacteria	Finished	Bacteroides fragilis NCTC 9343	Bacteroides fragilis NCTC 9343	Wellcome Trust Sanger Institute	637000024	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis	272559	NCTC 9343	5241700	4403	NA
t647000286	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Oribacterium sp. oral taxon 078 F0262	Washington University in St. Louis	647000286	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium	Oribacterium sp. oral taxon 078	608534	F0262	2672954	3003	NA
t646862324	Bacteria	Finished	Escherichia coli BL21(DE3)	Escherichia coli BL21 (DE3)	Korea Research Institute of Bioscience and Biotechnology	646862324	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	469008	BL21 (DE3)	4558953	4266	NA
t637000012	Bacteria	Finished	Aromatoleum aromaticum EbN1	Aromatoleum aromaticum EbN1	Max Planck Institute	637000012	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Aromatoleum	Aromatoleum aromaticum	76114	EbN1	4727255	4686	NA
t637000285	Bacteria	Finished	Streptococcus agalactiae 2603V/R	Streptococcus agalactiae sv. V/V 2603V/R	J. Craig Venter Institute (JCVI)	637000285	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae	208435	2603V/R	2160267	2246	NA
t641736230	Bacteria	Permanent Draft	Salmonella enterica enterica sv Saint Paul SARA29	Salmonella enterica enterica sv. Saint Paul SARA29	J. Craig Venter Institute (JCVI)	641736230	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	439847	SARA29	4928961	5690	NA
t649633048	Bacteria	Finished	Obsidian Hot Spring Microbial Community Genomics	Geobacillus sp. Y412MC52	DOE Joint Genome Institute (JGI)	649633048	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	Geobacillus sp. Y412MC52	550542	Y412MC52	3673940	3750	NA
t643886050	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Lactobacillus vaginalis ATCC 49540	Baylor College of Medicine	643886050	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus vaginalis	1423814	ATCC 49540	1806246	1932	NA
t648276661	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Escherichia coli MS 200-1	Washington University in St. Louis	648276661	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	749550	MS 200-1	5042708	5448	NA
t649633042	Bacteria	Finished	Erwinia billingiae Eb661	Erwinia billingiae Eb661	Max Planck Institute	649633042	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Erwinia	Erwinia billingiae	634500	Eb661	5372268	5015	NA
t643692027	Bacteria	Finished	Listeria monocytogenes 4b CLIP 80459	Listeria monocytogenes sv. 4b CLIP 80459	Institut Pasteur	643692027	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes	568819	CLIP 80459	2912690	2851	NA
t648276753	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Veillonella atypica ACS-049-V-Sch6	J. Craig Venter Institute (JCVI)	648276753	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella atypica	866776	ACS-049-V-Sch6	2053871	1906	NA
t644736383	Bacteria	Finished	Lactobacillus rhamnosus Lc 705	Lactobacillus rhamnosus Lc 705	University of Helsinki	644736383	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus rhamnosus	568704	Lc 705	3033106	3068	NA
t651324092	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Propionibacterium sp. 434-HC2	J. Craig Venter Institute (JCVI)	651324092	Actinobacteria	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Propionibacterium	Propionibacterium sp. 434-HC2	936048	434-HC2	2568635	2565	NA
t640612200	Bacteria	Permanent Draft	Bacillus sp. B14905	Bacillus sp. B14905	J. Craig Venter Institute (JCVI)	640612200	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. B14905	388400	B14905	4497271	4750	NA
t642555154	Bacteria	Finished	Salmonella enterica Agona SL483	Salmonella enterica sv. Agona SL483	J. Craig Venter Institute (JCVI)	642555154	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica	454166	SL483	4836638	4720	NA
t637000172	Bacteria	Finished	Mycobacterium tuberculosis sequencing- JCVI	Mycobacterium tuberculosis CDC1551	J. Craig Venter Institute (JCVI)	637000172	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis	83331	CDC1551	4403837	4300	NA
t646564563	Bacteria	Finished	Rhodobacter capsulatus SB1003	Rhodobacter capsulatus SB1003	Integrated Genomics, Institute of Molecular Genetics of the ASCR, v. v. i.	646564563	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter capsulatus	272942	SB1003	3871920	3708	NA
t637000013	Bacteria	Finished	Endospore-forming bacteria that causes anthrax	Bacillus anthracis Ames Ancestor A2084	J. Craig Venter Institute (JCVI)	637000013	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus anthracis	261594	Ames Ancestor A2084 (0581)	5503926	5853	NA
t637000119	Bacteria	Finished	Geobacter metallireducens GS-15	Geobacter metallireducens GS-15	DOE Joint Genome Institute (JGI)	637000119	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter metallireducens	269799	GS-15	4011182	3663	NA
t645058872	Bacteria	Permanent Draft	Bath Hot Springs Thermophage	Thermus aquaticus Y51MC23	DOE Joint Genome Institute (JGI)	645058872	Deinococcus-Thermus	Deinococci	Thermales	Thermaceae	Thermus	Thermus aquaticus	498848	Y51MC23	2338193	2595	NA
t646206277	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Lactobacillus crispatus MV-1A-US	Broad Institute	646206277	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus crispatus	575596	MV-1A-US	2311882	2216	NA
t640753021	Bacteria	Finished	Coxiella burnetii Dugway 5J108-111	Coxiella burnetii Dugway 5J108-111	J. Craig Venter Institute (JCVI)	640753021	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella	Coxiella burnetii	434922	Dugway 5J108-111 (7E9-12)	2212937	2257	NA
t2511231206	Bacteria	Finished	Buchnera aphidicola Ak	Buchnera aphidicola Ak	Yale University	2511231206	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Buchnera	Buchnera aphidicola	1005090	Ak	653223	624	NA
t642979325	Bacteria	Permanent Draft	Genome sequencing of Helicobacter pylori, Washington University Medical School	Helicobacter pylori HPKX_438_AG0C1	Washington University in St. Louis	642979325	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pylori	499171	HPKX_438_AG0C1	1819663	2939	NA
t643886193	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Kingella oralis UB-38, ATCC 51147	Washington University in St. Louis	643886193	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Kingella	Kingella oralis	629741	UB-38, ATCC 51147	2405975	3218	NA
t642791616	Bacteria	Permanent Draft	Bacillus pumilus ATCC 7061	Bacillus pumilus ATCC 7061	J. Craig Venter Institute (JCVI)	642791616	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pumilus	536229	ATCC 7061	3833998	3972	NA
t646206265	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Oxalobacter formigenes OXCC13	Broad Institute	646206265	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Oxalobacter	Oxalobacter formigenes	556269	OXCC13	2436766	2124	NA
t647000321	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Staphylococcus aureus aureus ATCC 51811	Baylor College of Medicine	647000321	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	762962	ATCC 51811	2765363	2760	NA
t647533156	Bacteria	Permanent Draft	Enterococcus gallinarum EG2	Enterococcus gallinarum EG2	Broad Institute	647533156	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus gallinarum	565653	EG2	3162323	3082	NA
t648231706	Bacteria	Finished	Escherichia coli AIEC UM146	Escherichia coli AIEC UM146	Medical Biofilm Research Institute	648231706	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	869729	AIEC UM146	5107563	4891	NA
t642979309	Bacteria	Permanent Draft	Mycobacterium tuberculosis 02_1987	Mycobacterium tuberculosis 02_1987	Broad Institute	642979309	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium tuberculosis	515616	02_1987	4443138	4318	NA
t2504557006	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Selenomonas sputigena DSM 20758	DOE Joint Genome Institute (JGI)	2504557006	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas	Selenomonas sputigena	546271	DSM 20758	2568361	2366	NA
t645058852	Bacteria	Permanent Draft	Haemophilus influenzae sequencing - Allegheny-Singer Research Institute	Haemophilus influenzae NTHi 7P49H1	Allegheny-Singer Research Institute	645058852	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus influenzae	521005	7P49H1	1827667	1818	NA
t641736144	Bacteria	Permanent Draft	Clostridium butyricum 5521	Clostridium butyricum 5521	J. Craig Venter Institute (JCVI)	641736144	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium butyricum	447214	5521	4540699	3966	NA
t646206276	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Lactobacillus coleohominis 101-4-CHN	Broad Institute	646206276	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus coleohominis	575594	101-4-CHN	1725829	1712	NA
t2511231084	Bacteria	Finished	Pan-genomics of Corynebacterium diphtheriae	Corynebacterium diphtheriae HC04	Bielefeld University	2511231084	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium diphtheriae	698970	HC04	2484332	2342	NA
t640427142	Bacteria	Finished	Genome dynamics and diversity of Shigella species	Shigella dysenteriae sv. 1 Sd197	Chinese National Human Genome Center, Microbial Genome Center	640427142	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Shigella	Shigella dysenteriae	300267	Sd197	4560911	4912	NA
t637000183	Bacteria	Finished	Mycoplasma pneumoniae M1139 Genome sequencing	Mycoplasma pneumoniae M129-B7	University Heidelberg	637000183	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	Mycoplasma pneumoniae	272634	M129	816394	733	NA
t637000142	Bacteria	Finished	Lactobacillus sakei sakei 23K	Lactobacillus sakei sakei 23K	National Institute for Agricultural Research (INRA)	637000142	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sakei	314315	23K	1884661	1985	NA
t637000344	Bacteria	Finished	Xanthomonas campestris pv campestris ATCC 33913	Xanthomonas campestris pv. Campestris	University of Sao Paulo, Sao Paulo Research Foundation (FAPESP)	637000344	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas campestris	190485	ATCC 33913	5076188	4254	100
t637000334	Bacteria	Finished	Vibrio fischeri ES114	Aliivibrio fischeri ES114	Integrated Genomics	637000334	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio	Aliivibrio fischeri	312309	ES114	4284050	3984	NA
t650377936	Bacteria	Finished	Human Microbiome Project (HMP) Reference Genomes	Eubacterium rectale DSM 17629	Wellcome Trust Sanger Institute	650377936	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	[Eubacterium] rectale	657318	A1-86, DSM 17629	3344951	2946	NA
t638341215	Bacteria	Permanent Draft	Synechococcus sp. WH7805	Synechococcus sp. WH7805	J. Craig Venter Institute (JCVI)	638341215	Cyanobacteria	unclassified	Synechococcales	Synechococcaceae	Synechococcus	Synechococcus sp. WH 7805	59931	WH7805	2620367	2937	NA
t640753054	Bacteria	Finished	Staphylococcus aureus aureus Newman	Staphylococcus aureus aureus Newman	Juntendo University	640753054	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	426430	Newman	2878897	2726	NA
t637000273	Bacteria	Finished	Staphylococcus aureus aureus COL	Staphylococcus aureus aureus COL	J. Craig Venter Institute (JCVI)	637000273	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	93062	COL	2813862	2759	NA
t638341030	Bacteria	Permanent Draft	Burkholderia Pathogen - TIGR	Burkholderia mallei GB8 horse 4	J. Craig Venter Institute (JCVI)	638341030	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia mallei	320390	GB8 horse 4	5804858	4888	NA
t2503754046	Bacteria	Permanent Draft	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Prevotella multisaccharivorax PPPA20, DSM 17128	DOE Joint Genome Institute (JGI)	2503754046	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella multisaccharivorax	688246	DSM 17128	3388644	2951	NA
t650716014	Bacteria	Finished	Burkholderia rhizoxinica HKI 454	Paraburkholderia rhizoxinica HKI 454	Leibniz Institute	650716014	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia rhizoxinica	882378	HKI 454	3750138	3938	NA
t647000271	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Megasphaera genomosp. type_1 28L	J. Craig Venter Institute (JCVI)	647000271	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	Megasphaera genomosp. type_1	699218	28L	1726197	1667	NA
t649990003	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Streptococcus australis ATCC 700641	Baylor College of Medicine	649990003	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus australis	888833	SK956/AI-1	2110220	2083	NA
t2503508009	Bacteria	Finished	A Genomic Encyclopedia of Bacteria and Archaea (GEBA)	Mahella australiensis 50-1 BON, DSM 15567	DOE Joint Genome Institute (JGI)	2503508009	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family IV. Incertae Sedis	Mahella	Mahella australiensis	697281	50-1 BON, DSM 15567	3135972	3033	NA
t647533180	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Lactobacillus jensenii SJ-7A-US	Broad Institute	647533180	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus jensenii	575607	SJ-7A-US	1722751	1682	NA
t645058817	Bacteria	Permanent Draft	Clostridium botulinum D 1873	Clostridium botulinum D 1873	Los Alamos National Laboratory, J. Craig Venter Institute (JCVI)	645058817	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum	592027	1873	2379404	2322	NA
t638341207	Bacteria	Permanent Draft	Streptococcus pneumoniae TIGR4	Streptococcus pneumoniae TIGR4	454 Life Sciences	638341207	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	170187	TIGR4	2016795	1912	NA
t2508501001	Bacteria	Permanent Draft	Comparative genomics of Desulfosporosinus species - Insights into the evolution and genetic blueprints of sulfate-reducing bacteria involved in wetland carbon cycling and heavy metal bioremediation	Desulfosporosinus youngiae JW/YJL-B18, DSM 17734	DOE Joint Genome Institute (JGI)	2508501001	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfosporosinus	Desulfosporosinus youngiae	768710	JW/YJL-B18, DSM 17734	5660978	5456	NA
t2510065044	Bacteria	Finished	Comparative genomics of Desulfosporosinus species - Insights into the evolution and genetic blueprints of sulfate-reducing bacteria involved in wetland carbon cycling and heavy metal bioremediation	Desulfosporosinus meridiei S10, DSM 13257	DOE Joint Genome Institute (JGI)	2510065044	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfosporosinus	Desulfosporosinus meridiei	768704	S10, DSM 13257	4873567	4663	NA
t647533249	Bacteria	Permanent Draft	Gamma proteobacterium sp. NOR5-3	Gamma proteobacterium sp. NOR5-3	J. Craig Venter Institute (JCVI)	647533249	Proteobacteria	Gammaproteobacteria	unclassified	unclassified	unclassified	gamma proteobacterium NOR5-3	566466	NOR5-3	4208084	3726	100
t651285011	Bacteria	Finished	Streptomyces sp. Tu6071	Streptomyces sp. Tu6071	LGC Genomics	651285011	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. Tu6071	355249	Tu6071	7506727	6733	NA
t2510461070	Bacteria	Finished	Continuation of the Genomic Encyclopedia of Bacteria and Archaea pilot project (GEBA)	Terriglobus roseus KBS 63, DSM 18391	DOE Joint Genome Institute (JGI)	2510461070	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Terriglobus	Terriglobus roseus	926566	KBS 63, DSM 18391	5227858	4399	NA
t640069303	Bacteria	Finished	Burkholderia Pathogen - TIGR	Burkholderia mallei NCTC 10229	J. Craig Venter Institute (JCVI)	640069303	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia mallei	412022	NCTC 10229	5742303	5635	NA
t651053067	Bacteria	Finished	Ensifer meliloti SM11	Sinorhizobium meliloti SM11	Bielefeld University	651053067	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Sinorhizobium meliloti	707241	SM11	7173736	7156	NA
t638341178	Bacteria	Permanent Draft	Rickettsia sibirica 246	Rickettsia sibirica 246	Agencourt Bioscience	638341178	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia sibirica	272951	246	1250021	1270	NA
t643348501	Bacteria	Finished	Acidithiobacillus ferrooxidans ATCC 23270	Acidithiobacillus ferrooxidans ATCC 23270	J. Craig Venter Institute (JCVI)	643348501	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus ferrooxidans	243159	ATCC 23270	2982397	3234	NA
t640963014	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Pseudoflavonifractor capillosus ATCC 29799	Washington University in St. Louis	640963014	Firmicutes	Clostridia	Clostridiales	unclassified	Pseudoflavonifractor	Pseudoflavonifractor capillosus	411467	ATCC 29799	4241853	4907	NA
t645058766	Bacteria	Permanent Draft	Anaplasma marginale Puerto Rico	Anaplasma marginale Puerto Rico	Washington State University	645058766	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Anaplasma	Anaplasma marginale	517437	Puerto Rico	1158530	1005	NA
t647533221	Bacteria	Permanent Draft	Comparative analysis of Staphylococcus aureus	Staphylococcus aureus E1410	Broad Institute	647533221	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	585153	E1410	2838772	2708	NA
t651324079	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Oribacterium sp. oral taxon 108 F0425	J. Craig Venter Institute (JCVI)	651324079	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Oribacterium	Oribacterium sp. oral taxon 108	904296	F0425	2518361	2402	NA
t647533131	Bacteria	Permanent Draft	Enterococcus faecalis ATCC 4200	Enterococcus faecalis ATCC 4200	Broad Institute	647533131	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	565642	ATCC 4200	3036165	2982	NA
t647000323	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Staphylococcus epidermidis M23864:W2(grey)	Baylor College of Medicine	647000323	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis	525375	M23864:W2(grey)	2486756	2472	NA
t637000345	Bacteria	Finished	Xanthomonas campestris pv vesicatoria 85-10	Xanthomonas campestris pv. vesicatoria 85-10	Bielefeld University	637000345	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas euvesicatoria	316273	85-10	5420152	4800	100
t651324044	Bacteria	Permanent Draft	Human Microbiome Project (HMP) Reference Genomes	Kingella kingae ATCC 23330	Baylor College of Medicine	651324044	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Kingella	Kingella kingae	887327	ATCC 23330	1916770	2156	NA
t649633094	Bacteria	Finished	Novel Microbial Enzymes	Ruminococcus albus 7	DOE Joint Genome Institute (JGI)	649633094	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus albus	697329	7	4482087	4103	NA
t643692055	Bacteria	Finished	Wolbachia sp. wRi	Wolbachia sp. wRi	Uppsala University	643692055	Proteobacteria	Alphaproteobacteria	Rickettsiales	Anaplasmataceae	Wolbachia	Wolbachia sp. wRi	66084	wRi	1445873	1187	NA
t2511231173	Bacteria	Finished	Bacillus subtilis subtilis RO-NN-1	Bacillus subtilis subtilis RO-NN-1	University of Maryland School of Medicine	2511231173	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	1052588	RO-NN-1	4011949	4257	NA
t641522633	Bacteria	Finished	Human Microbiome Project (HMP) Reference Genomes	Lactobacillus fermentum IFO 3956	University of Tokyo	641522633	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus fermentum	334390	IFO 3956	2098685	1915	NA
t651053016	Bacteria	Finished	Chlamydophila psittaci C19/98	Chlamydia psittaci C19/98	Leibniz Institute	651053016	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia psittaci	1112250	C19/98	1169374	1019	NA
t642555150	Bacteria	Finished	Proteus mirabilis HI4320	Proteus mirabilis HI4320	Wellcome Trust Sanger Institute	642555150	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Proteus	Proteus mirabilis	529507	HI4320	4099895	3784	NA
t2508501136	Bacteria	Finished	Comparative genomics of Desulfosporosinus species - Insights into the evolution and genetic blueprints of sulfate-reducing bacteria involved in wetland carbon cycling and heavy metal bioremediation	Desulfosporosinus orientis Singapore I, DSM 765	DOE Joint Genome Institute (JGI)	2508501136	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfosporosinus	Desulfosporosinus orientis	768706	Singapore I, DSM 765	5863081	5638	NA
t637000150	Bacteria	Finished	Leptospira interrogans sv Copenhageni Fiocruz L1-130	Leptospira interrogans sv. Copenhageni Fiocruz L1-130	University of Campinas, University of Sao Paulo	637000150	Spirochaetes	Spirochaetia	unclassified	Leptospiraceae	Leptospira	Leptospira interrogans	267671	Fiocruz L1-130	4627366	3707	NA
